shot,match,tournament,round,date,attacker_team,gk_team,attacker,goalkeeper,goal,missed,saved,shot_order,take_first,FT_goals,neutral_stadium,attacker_home,could_win,must_survive,running_score,running_dif,match_winner,game_data,additional
2542,248,LI,semi,11-Jul-2013,Newell's,Atletico Mineiro,Maxi Rodriguez,Victor,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,2.0,-1.0,0,https://www.transfermarkt.com/spielbericht/index/spielbericht/2318652,https://www.youtube.com/watch?v=sztJZv1IiGU
2921,287,EL,last16,28-Feb-2002,Roda JC,Milan,Giannis Anastasiou,Christian Abbiati,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
2922,287,EL,last16,28-Feb-2002,Roda JC,Milan,Garba Lawal,Christian Abbiati,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
2923,287,EL,last16,28-Feb-2002,Roda JC,Milan,Tom Soetaers,Christian Abbiati,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0,2.0,1.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
2924,287,EL,last16,28-Feb-2002,Roda JC,Milan,Mark Luijpers,Christian Abbiati,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0,2.0,1.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
2925,287,EL,last16,28-Feb-2002,Roda JC,Milan,Eric van der Luer,Christian Abbiati,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0,2.0,0.0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
2926,287,EL,last16,28-Feb-2002,Milan,Roda JC,Cristian Brocchi,Zeljko Kalac,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
2927,287,EL,last16,28-Feb-2002,Milan,Roda JC,Jose Mari,Zeljko Kalac,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1.0,-1.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
2928,287,EL,last16,28-Feb-2002,Milan,Roda JC,Kakhaber Kaladze,Zeljko Kalac,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1.0,-1.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
2929,287,EL,last16,28-Feb-2002,Milan,Roda JC,Andrea Pirlo,Zeljko Kalac,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1.0,-1.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
2930,287,EL,last16,28-Feb-2002,Milan,Roda JC,Cosmin Contra,Zeljko Kalac,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,2.0,0.0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/1173398,https://www.youtube.com/watch?v=5-fuOd4LAgs
